План ведомственного контроля и аудита Федерального казначейства на 2022 год;;;;;;;
№ п/п;Наименование объекта проверки;Тема проверки;Проверяемый период;Метод проведения проверки;Вид проверки;Срок проведения проверки (квартал);Ответственный исполнитель
1;2;3;4;5;6;7;8
Раздел I. Осуществление ведомственного контроля;;;;;;;
1.1.;Управление Федерального казначейства по Костромской области;Проверка выполнения отдельных полномочий;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(I квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.2.;Управление Федерального казначейства по Пермскому краю;Проверка соблюдения требований организации и ведения работы по представлению интересов в судах, порядка формирования и направления в Федеральное казначейство отчетности по правовой работе;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(I квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.3.;Управление Федерального казначейства по Томской области;Проверка выполнения отдельных полномочий;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(II квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.4.;"Управление Федерального казначейства по Республике Дагестан
Управление Федерального казначейства по Хабаровскому краю
Управление Федерального казначейства по Кировской области
Управление Федерального казначейства по Ярославской области
Управление Федерального казначейства по Чеченской Республике";Проверка осуществления пономочий по контролю в сфере закупок;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(II квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.5.;Управление Федерального казначейства по Тверской области;Проверка выполнения отдельных полномочий;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(II квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.6.;"Управление Федерального казначейства по Еврейской автономной области
Управление Федерального казначейства по Республике Ингушетия
Управление Федерального казначейства по Ямало-Ненецкому автономному округу";Проверка соблюдения порядка осуществления производства по делам об административных правонарушениях и учета дел об административных правонарушениях;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.7.;Управление Федерального казначейства по Мурманской области;Проверка выполнения отдельных полномочий;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.8.;"Федеральное казенное учреждение ""Центр по обеспечению деятельности Казначейства России""";Проверка выполнения отдельных полномочий;2021 год и текущий период 2022 года;тематическая;комбинированная;"2022 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.9.;Межрегиональное управление Федерального казначейства в сфере управления ликвидностью;Проверка выполнения отдельных полномочий;2021 год и текущий период 2022 года;тематическая;комбинированная;"2022
(IV квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.10.;"Управление Федерального казначейства по Республике Дагестан
Управление Федерального казначейства по Тульской области
Управление Федерального казначейства по Ульяновской области";"Проверка ведения бюджетного (бухгалтерского) учета
и формирования бюджетной (бухгалтерской) отчетности; начисления и перечисления оплаты труда, иных выплат
и связанных с ними обязательных платежей в бюджеты бюджетной системы Российской Федерации";2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022
(IV квартал)";"Начальник УВКиА
А.В. Бурдейн"
1.11.;"Управление Федерального казначейства по Воронежской области
Управление Федерального казначейства по Рязанской области";Проверка осуществления контрольно-ревизионной деятельности;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022
(IV квартал)";"Начальник УВКиА
А.В. Бурдейн"
Раздел II. Осуществление внутреннего аудита;;;;;;;
2.1.;Управление Федерального казначейства по Пермскому краю;Оценка надежности внутреннего контроля в рамках проведения проверки отдельных полномочий;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(I квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.2.;"Управление Федерального казначейства по Республике Дагестан
Управление Федерального казначейства по Хабаровскому краю
Управление Федерального казначейства по Кировской области
Управление Федерального казначейства по Ярославской области
Управление Федерального казначейства по Чеченской Республике";Оценка надежности внутреннего контроля в рамках проведения проверки отдельных полномочий;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(II квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.3.;"Управление Федерального казначейства по Еврейской автономной области
Управление Федерального казначейства по Республике Ингушетия
Управление Федерального казначейства по Ямало-Ненецкому автономному округу";Оценка надежности внутреннего контроля в рамках проведения проверки отдельных полномочий;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.4.;"Управление Федерального казначейства по Краснодарскому краю
Управление Федерального казначейства по Нижегородской области
Управление Федерального казначейства по Свердловской области";Оценка надежности внутреннего контроля в рамках проверки внешнего контроля качества работы аудиторских организаций;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.5.;"Федеральное казенное учреждение ""Центр по обеспечению деятельности Казначейства России""";Оценка надежности внутреннего контроля в рамках проведения проверки отдельных полномочий;2021 год и текущий период 2022 года;тематическая;комбинированная;"2022 год
(III квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.6.;"Управление Федерального казначейства по Республике Дагестан
Управление Федерального казначейства по Тульской области
Управление Федерального казначейства по Ульяновской области";Оценка надежности внутреннего контроля в рамках проведения проверки отдельных полномочий;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022
(IV квартал)";"Начальник УВКиА
А.В. Бурдейн"
2.7.;"Управление Федерального казначейства по Воронежской области
Управление Федерального казначейства по Рязанской области";Оценка надежности внутреннего контроля в рамках проведения проверки отдельных полномочий;2020, 2021 год и текущий период 2022 года;тематическая;камеральная;"2022
(IV квартал)";"Начальник УВКиА
А.В. Бурдейн"
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
