№ п/п;Объект проверки;Проверяемый период;Метод проведения проверки;Срок проведения проверки (месяц)
1;Управление Федерального казначейства                           по Республике Марий Эл;2013 год;комплексная проверка;I квартал 2014 года
2;Управление Федерального казначейства                               по Воронежской области;2013 год;комплексная проверка;I квартал 2014 года
3;Управление Федерального казначейства                                  по Костромской области;2013 год;комплексная проверка;I квартал 2014 года
4;Управление Федерального казначейства                                     по Самарской области;2013 год;комплексная проверка;I квартал 2014 года
5;Управление Федерального казначейства                          по Тверской области;2013 год;комплексная проверка;I квартал 2014 года
6;Управление Федерального казначейства                               по Ростовской области;2013 год;комплексная проверка;I квартал 2014 года
7;Управление Федерального казначейства                               по Республике Башкортостан;2013 год январь-март 2014 года;комплексная проверка;II квартал 2014 года
8;Управление Федерального казначейства                               по Республике Бурятия;2013 год январь-март 2014 года;комплексная проверка;II квартал 2014 года
9;Управление Федерального казначейства                                             по Тюменской области;2013 год январь-март 2014 года;комплексная проверка;II квартал 2014 года
10;Управление Федерального казначейства                                        по Белгородской области;2013 год январь-март 2014 года;тематическая проверка;II квартал 2014 года
11;Управление Федерального казначейства                                                            по Чеченской Республике;2013 год январь-март 2014 года;комплексная проверка;II квартал 2014 года
12;Управление Федерального казначейства                                       по Курганской области;2013 год январь-март 2014 года;комплексная проверка;II квартал 2014 года
13;Управление Федерального казначейства                                    по Карачаево-Черкесской Республике;2013 год январь-март 2014 года;тематическая проверка;II квартал 2014 года
14;Управление Федерального казначейства                                            по Республике Северная Осетия-Алания;2013 год январь-март 2014 года;тематическая проверка;III квартал 2014 года
15;Управление Федерального казначейства                                по Челябинской области;2013 год январь-июнь 2014 года;комплексная проверка;III квартал 2014 года
16;Управление Федерального казначейства                                    по Орловской области;2013 год январь-июнь 2014 года;комплексная проверка;III квартал 2014 года
17;Управление Федерального казначейства                                             по Хабаровскому краю;2013 год январь-июнь 2014 года;комплексная проверка;III квартал 2014 года
18;Управление Федерального казначейства                                            по Омской области;2013 год январь-июнь 2014 года;комплексная проверка;III квартал 2014 года
19;Управление Федерального казначейства                                      по Ненецкому автономному округу;2013 год январь-июнь 2014 года;комплексная проверка;III квартал 2014 года
20;Управление Федерального казначейства                                                    по Ямало-Ненецкому автономному округу;2013 год январь-июнь 2014 года;комплексная проверка;III квартал 2014 года
21;Управление Федерального казначейства                                                       по Чувашской Республике;2013 год январь-сентябрь                         2014 года;комплексная проверка;IV квартал 2014 года
22;Управление Федерального казначейства                                                по Московской области;2013 год январь-сентябрь                          2014 года;комплексная проверка;IV квартал 2014 года
23;Управление Федерального казначейства                                                 по Ульяновской области;2013 год январь-сентябрь                               2014 года;комплексная проверка;IV квартал 2014 года
24;Межрегиональное операционное управление;2013 год январь-сентябрь                                      2014 года;тематическая проверка;IV квартал 2014 года
25;Управление Федерального казначейства                                по г. Москве;2013 год январь-сентябрь                                               2014 года;тематическая проверка;IV квартал 2014 года
