План контрольной деятельности Федерального казначейства на 2015 год;;;;;
1. Управления центрального аппарата Федерального казначейства;;;;;
№;Объект проверки;Проверяемый период (2015 год – до даты начала проверки);Метод проведения проверки;Вид проверки;Срок проведения проверки
п/п;;;;;
1;2;3;4;5;6
1;Управление совершенствования функциональной деятельности;2014, 2015 год;тематическая;выездная;II квартал 2015 года
2;Управление обеспечения исполнения федерального бюджета;2014, 2015 год;тематическая;выездная;II квартал 2015 года
3;Управление финансовых технологий;2014, 2015 год;тематическая;выездная;III квартал 2015 года




2. Территориальные органы Федерального казначейства;;;;;
2_1;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;I квартал
;по Липецкой области ;;;;2015 года
2_2;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;I квартал
;по Республике Мордовия ;;;;2015 года
2_3;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;I квартал
;по Кабардино-Балкарской Республике;;;;2015 года
2_4;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;II квартал
;по Калининградской области;;;;2015 года
2_5;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;II квартал
;по Республике Ингушетия;;;;2015 года
2_6;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;II квартал
;по Оренбургской области;;;;2015 года
2_7;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;II квартал
;по Приморскому краю;;;;2015 года
2_8;Управление Федерального казначейства;II–IV квартал 2014 года, 2015 год;тематическая;комбинированная;II квартал
;по Республике Бурятия;;;;2015 года
2_9;Управление Федерального казначейства;2014, 2015 год;тематическая;комбинированная;II квартал
;по Тверской области;;;;2015 года
2_10;Управление Федерального казначейства;IV квартал 2013 года,;тематическая;комбинированная;II квартал
;по Калужской области;2014, 2015 год;;;2015 года
2_11;Управление Федерального казначейства;2014, 2015 год;тематическая;комбинированная;II квартал
;по Курской области;;;;2015 года
2_12;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;III квартал
;по Республике Коми;;;;2015 года
2_13;Управление Федерального казначейства по Архангельской области и Ненецкому автономному округу;2013, 2014 и 2015 год;комплексная;комбинированная;III квартал
;;;;;2015 года
2_14;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;III квартал
;по Республике Удмуртия;;;;2015 года
2_15;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;III квартал
;по Краснодарскому краю;;;;2015 года
2_16;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;III квартал
;по Камчатскому краю;;;;2015 года
2_17;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;III квартал
;по Томской области;;;;2015 года
2_18;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;III квартал
;по Иркутской области;;;;2015 года
2_19;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;III квартал
;по Кировской области;;;;2015 года
2_20;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;III квартал
;по Республике Алтай;;;;2015 года
2_21;Управление Федерального казначейства;III–IV квартал 2013 года, 2014, 2015 год ;комплексная;комбинированная;III квартал
;по Ивановской области;;;;2015 года
2_22;Управление Федерального казначейства;2014, 2015 год;тематическая;камеральная;III квартал
;по Костромской области;;;;2015 года
2_23;Управление Федерального казначейства;IV квартал 2013 года, 2014, 2015 год;тематическая;камеральная;III квартал
;по Республике Тыва;;;;2015 года
2_24;;III–IV квартал 2014 года, 2015 год;тематическая;комбинированная;III квартал
;Управление Федерального казначейства;;;;2015 года
;по Ямало-Ненецкому автономному округу;;;;

2_25;Управление Федерального казначейства;III–IV квартал 2014 года, 2015 год;тематическая;комбинированная;III квартал
;по Орловской области;;;;2015 года
2_26;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;IV квартал
;по Республике Адыгея;;;;2015 года
2_27;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;IV квартал
;по городу Санкт-Петербургу;;;;2015 года
2_28;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;IV квартал
;по Тамбовской области;;;;2015 года
2_29;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;IV квартал
;по Республике Карелия;;;;2015 года
2_30;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;IV квартал
;по Красноярскому краю;;;;2015 года
2_31;Управление Федерального казначейства;2013, 2014 и 2015 год;комплексная;комбинированная;IV квартал
;по Волгоградской области;;;;2015 года
2_32;Управление Федерального казначейства;II–IV квартал 2014 года, 2015 год;тематическая;комбинированная;IV квартал
;по Амурской области;;;;2015 года
2_33;Федеральное казенное учреждение «Центр по обеспечению деятельности Казначейства России»;IV квартал 2014 года,;тематическая;выездная;IV квартал
;;2015 год;;;2015 года
