Naimenovanie;Celevaja_statja_rashodov;Kassovoe_ispolnenie
Всего;;425 382 853 210,06
Субсидии на финансовое обеспечение мероприятий федеральной целевой программы развития образования на 2016 - 2020 годы;0289954980;1 351 394 835,01
Реализация мероприятий федеральной целевой программы;0289999998;3 753 337 260,24
Субсидии на финансовое обеспечение мероприятий федеральной целевой программы развития образования на 2016 - 2020 годы;028П354980;543 592 089,57
Реализация мероприятий федеральной целевой программы;028П399998;134 174 511,00
Реализация мероприятий федеральной целевой программы;028П499998;137 186 916,17
"Субсидии на финансовое обеспечение мероприятий федеральной целевой программы ""Русский язык"" на 2016 - 2020 годы";0290054990;102 478 216,82
Реализация мероприятий федеральной целевой программы;0290099998;402 129 323,03
"Субсидии на мероприятия подпрограммы ""Обеспечение жильем молодых семей"" федеральной целевой программы ""Жилище"" на 2015 - 2020 годы";0540250200;3 181 261 125,37
Приобретение жилья гражданами, подлежащими переселению из закрытых административно-территориальных образований и территорий, ранее входивших в границы закрытых административно-территориальных образований;0540335700;447 187 000,00
Приобретение жилья военнослужащими, сотрудниками органов внутренних дел, подлежащими увольнению с военной службы (службы), и приравненными к ним лицами;0540335840;1 021 243 200,00
Приобретение жилья гражданами - участниками ликвидации последствий радиационных аварий и катастроф, пострадавшими в результате этих аварий, и приравненными к ним лицами;0540335860;2 591 717 000,00
Приобретение жилья вынужденными переселенцами;0540335870;3 234 583 000,00
Приобретение жилья гражданами, выезжающими из районов Крайнего Севера и приравненных к ним местностей;0540335880;3 918 041 500,00
Субвенции на обеспечение жильем граждан, уволенных с военной службы (службы), и приравненных к ним лиц;0540354850;1 197 761 697,82
Мероприятия по обеспечению жильем федеральных государственных гражданских служащих;0540535890;722 368 905,79
Мероприятия по обеспечению жильем прокуроров и следователей;0540535900;273 153 865,16
Мероприятия по обеспечению жильем молодых ученых и строительство общежитий;0540535920;389 831 800,00
Субсидии на мероприятия по переселению граждан из ветхого и аварийного жилья в зоне Байкало-Амурской магистрали;0540550230;525 350 901,52
Субсидии на мероприятия по приведению объектов города Волгодонска в состояние, обеспечивающее безопасное проживание его жителей;0540550240;10 106 984,62
"Субсидии российским кредитным организациям и акционерному обществу ""Агентство по ипотечному жилищному кредитованию"" на возмещение недополученных доходов по выданным (приобретенным) жилищным (ипотечным) кредитам (займам)";0540567380;3 559 687 072,16
Расходы на обеспечение деятельности (оказание услуг) государственных учреждений;0549990059;66 593 885,66
"Субсидии на мероприятия подпрограммы ""Стимулирование программ развития жилищного строительства субъектов Российской Федерации"" федеральной целевой программы ""Жилище"" на 2015 - 2020 годы";054П150210;8 090 469 733,34
"Субсидии на реализацию мероприятий федеральной целевой программы ""Повышение устойчивости жилых домов, основных объектов и систем жизнеобеспечения в сейсмических районах Российской Федерации на 2009 - 2018 годы""";0560051050;1 343 073 480,08
Реализация мероприятий федеральной целевой программы;0850099998;771 781 467,99
Реализация мероприятий федеральной целевой программы;1060099998;85 706 057,11
"Субсидии на реализацию мероприятий федеральной целевой программы ""Создание системы обеспечения вызова экстренных оперативных служб по единому номеру ""112"" в Российской Федерации на 2013 - 2017 годы""";1090050980;42 636 593,88
Реализация мероприятий федеральной целевой программы;1090099998;24 955 000,03
Реализация мероприятий федеральной целевой программы;10Б0099998;1 485 790 421,49
"Субсидии на реализацию мероприятий федеральной целевой программы ""Культура России (2012 - 2018 годы)""";1150050140;339 250 288,20
Расходы на обеспечение деятельности (оказание услуг) государственных учреждений;1150090059;12 925 700,00
