№ п/п;Объект проверки;Проверяемый период;Метод проведения проверки;Срок проведения проверки 

1;2;3;4;5
1;Управление Федерального казначейства                               по Воронежской области;2012, 2013 годы;комплексная проверка;I квартал 2014 года
2;Управление Федерального казначейства                          по Тверской области;2012, 2013 годы;комплексная проверка;I квартал 2014 года
3;Управление Федерального казначейства                                  по Костромской области;2012, 2013 годы;комплексная проверка;I квартал 2014 года
4;Управление Федерального казначейства                                     по Самарской области;2012, 2013 годы;комплексная проверка;I квартал 2014 года
5;Управление Федерального казначейства                                    по Карачаево-Черкесской Республике;апрель - декабрь 2013 года,                                  январь - февраль 2014 года;тематическая проверка;I квартал 2014 года
6;Управление Федерального казначейства                               по Республике Бурятия;2012, 2013 годы,                                                             январь - март 2014 года;комплексная проверка;II квартал 2014 года
7;Управление Федерального казначейства                               по Республике Башкортостан;2012, 2013 годы,                                                             январь - март 2014 года;комплексная проверка;II квартал 2014 года
8;Управление Федерального казначейства                                             по Тюменской области;2012, 2013 годы,                                                             январь - март 2014 года;комплексная проверка;II квартал 2014 года
9;Управление Федерального казначейства                                             по Амурской области;2012, 2013 годы,                                                             январь - март 2014 года;комплексная проверка;II квартал 2014 года
10;Управление Федерального казначейства                           по Республике Марий Эл;2012, 2013 годы,                                                             январь - март 2014 года;комплексная проверка;III квартал 2014 года
11;Управление Федерального казначейства                               по Ростовской области;2012, 2013 годы,                                                             январь - март 2014 года;комплексная проверка;II квартал 2014 года
12;Управление Федерального казначейства                                       по Курганской области;2012, 2013 годы,                                                             январь - март 2014 года;комплексная проверка;II квартал 2014 года
13;Управление Федерального казначейства                                        по Белгородской области;2012, 2013 годы,                                                             январь - апрель 2014 года;тематическая проверка;II квартал 2014 года
14;Управление Федерального казначейства                                по г. Москве;май - декабрь 2013 года,                                                                            январь - апрель 2014 года;тематическая проверка;II квартал 2014 года
15;Управление Федерального казначейства                                                            по Чукотскому автономному округу;июль - декабрь 2013 года,                                                                    январь - май 2014 года;тематическая проверка;II квартал 2014 года
16;Управление Федерального казначейства                                                    по Ямало-Ненецкому автономному округу;2012, 2013 годы,                                                             январь - июнь 2014 года;комплексная проверка;III квартал 2014 года
17;Управление Федерального казначейства                                             по Хабаровскому краю;2012, 2013 годы,                                                             январь - июнь 2014 года;комплексная проверка;III квартал 2014 года
18;Управление Федерального казначейства                                      по Ненецкому автономному округу;2012, 2013 годы,                                                             январь - июнь 2014 года;комплексная проверка;III квартал 2014 года
19;Управление Федерального казначейства                                                       по Чувашской Республике;2012, 2013 годы,                                                             январь - июнь 2014 года;комплексная проверка;III квартал 2014 года
20;Управление Федерального казначейства                                                            по Чеченской Республике;2012, 2013 годы,                                                             январь - июнь 2014 года;комплексная проверка;III квартал 2014 года
21;Управление Федерального казначейства                                по Челябинской области;2012, 2013 годы,                                                             январь - июнь 2014 года;комплексная проверка;III квартал 2014 года
22;Управление Федерального казначейства                                            по Республике Северная Осетия-Алания;апрель - декабрь 2013 года,                                                                    январь - июнь 2014 года;тематическая проверка;III квартал 2014 года
23;Управление Федерального казначейства                                            по Омской области;2012, 2013 годы,                                                             январь - сентябрь 2014 года;комплексная проверка;IV квартал 2014 года
24;Управление Федерального казначейства                                                 по Ульяновской области;2012, 2013 годы,                                                             январь - сентябрь 2014 года;комплексная проверка;IV квартал 2014 года
25;Управление Федерального казначейства                                    по Орловской области;2012, 2013 годы,                                                             январь - сентябрь 2014 года;комплексная проверка;III квартал 2014 года
26;Управление Федерального казначейства                                                по Московской области;2012, 2013 годы,                                                             январь - сентябрь 2014 года;комплексная проверка;IV квартал 2014 года
27;Управление Федерального казначейства                                                по Забайкальскому краю;сентябрь - декабрь 2013 года,                                                                    январь - сентябрь 2014 года;тематическая проверка;IV квартал 2014 года
28;Межрегиональное операционное управление;2013 год,                                                      январь - сентябрь 2014 года;тематическая проверка;IV квартал 2014 года
29;"Федеральное казенное учреждение ""Центр по обеспечению деятельности Казначейства России""";июль - декабрь 2013 года,                                                      январь - сентябрь 2014 года;тематическая проверка;IV квартал 2014 года
