;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Годовой план внутреннего контроля и внутреннего аудита Федерального казначейства на 2016 год;;;;;;;
№ п/п;Наименование объекта проверки;Предмет проверки;Проверяемый период (2016 год – до даты начала проверки);Метод проведения проверки;Вид проверки;Срок проведения проверки (квартал);Ответственный исполнитель
;;;;;;;
1;2;3;4;5;6;7;8
1. Управления центрального аппарата Федерального казначейства;;;;;;;
1;Управление интегрированных информационных систем государственных финансов;в соответствии с утвержденной программой проверки;2015, 2016 год;тематическая;выездная;I квартал 2016 года;А.В. Солодов – начальник УВК(А)иОЭД
;;;;;;;
1.2.;Управление развития бюджетных платежей;в соответствии с утвержденной программой проверки;2015, 2016 год;тематическая;выездная;II квартал 2016 года;А.В. Солодов – начальник УВК(А)иОЭД
;;;;;;;
1.3.;Управление информационных систем;в соответствии с утвержденной программой проверки;2015, 2016 год;тематическая;выездная;IV квартал 2016 года;А.В. Солодов – начальник УВК(А)иОЭД
;;;;;;;
2. Территориальные органы Федерального казначейства;;;;;;;
2.1.;Управление Федерального казначейства по Кабардино-Балкарской Республике;в соответствии с утвержденной программой проверки;апрель – декабрь 2015 года и 2016 год;тематическая;комбинированная;I квартал 2016 года;А.В. Солодов – начальник УВК(А)иОЭД
;;;;;;;
2.2.;Управление Федерального казначейства по Республике Калмыкия;I – XVI;2014, 2015 и 2016 год;комплексная;комбинированная;I квартал 2016 года;А.В. Солодов – начальник УВК(А)иОЭД
;;;;;;;
2.3.;Управление Федерального казначейства по Астраханской области;I – XVI;2014, 2015 и 2016 год;комплексная;комбинированная;I квартал 2016 года;А.В. Солодов – начальник УВК(А)иОЭД
;;;;;;;
2.4.;Управление Федерального казначейства по Республике Саха (Якутия);I – XVI;2014, 2015 и 2016 год;комплексная;комбинированная;II квартал 2016 года;А.В. Солодов – начальник УВК(А)иОЭД
;;;;;;;
2.5.;Управление Федерального казначейства по Алтайскому краю;I – XVI;2014, 2015 и 2016 год;комплексная;комбинированная;II квартал 2016 года;А.В. Солодов – начальник УВК(А)иОЭД
;;;;;;;
2.6.;Управление Федерального казначейства по Ставропольскому краю;I – XVI;2014, 2015 и 2016 год;комплексная;комбинированная;II квартал 2016 года;А.В. Солодов – начальник УВК(А)иОЭД
;;;;;;;
