№;Наименование;Описание
1;orgname;Полное наименование территориального органа
2;orgsokrname;Сокращенное наименование территориального органа
3;rukfio;ФИО и должность  руководителя
4;zamrukfio;ФИО и должность заместителя руководителя
5;orgfunc;Перечень задач и функций организации
6;address;Почтовые адреса территориальных органов: Фактический адрес территориального органа
7;kaldr;Почтовые адреса территориальных органов: Код КЛАДР адреса территориального органа
8;okpo;ОКПО
9;ogrn;ОГРН
10;inn;ИНН
11;mail;Адрес электронной почты 
12;fax;Факс
13;telterorg;Номера телефонов справочных служб территориальных органов
14;telothers;Другие номера телефонов
15;url;Адреса сайтов территориальных органов (или url-ссылка на страницу территориального органа)
