№;Характеристика;Значение
1;Идентификационный номер (код) набора данных;7703092752-terorg
2;Наименование набора данных;Перечень территориальных органов Росгидромета
3;Описание набора данных;Сведения о территориальных органах Росгидромета
4;Владелец  набора данных;Росгидромет
5;Ответственное лицо ;Петрова Ольга Васильевна, заместитель начальника отдела
6;Телефон ответственного лица;8(499)795-22-81
7;Адрес электронной почты ответственного лица;okumsa@mcc.mecom.ru
8;Гиперсылка (URL) на набор;https://zhabinda.github.io/github_page_example/opendata_xml/7703092752-terorg/data-1-structure-1.csv
9;Формат данных;CSV
10;Описание структуры набора данных;https://zhabinda.github.io/github_page_example/opendata_xml/7703092752-terorg/structure-1-2013-07-15.csv
11;Дата первой публикации набора данных;15.07.2013
12;Дата последнего внесения изменений;15.07.2013
13;Содержание последнего изменения;Первоначальное размещение
14;Периодичность актуализации набора данных;по мере изменений
15;Ключевые слова, соответствующие содержанию набора данных;перечень, территориальные органы
16;Гиперссылки (URL) на версии набора данных.;null
17;Гиперссылки (URL) на версии структуры набора данных.;null
